id_client,provincia,familia,segment_client,share_of_wallet_12m,dies_sense_compra,cicle_habitual_dies,potencial_anual_eur,z_score_retard,genera_alerta,tipus_alerta,impacte_recuperable_eur,urgencia,motiu_explicat
17025,Ciudad Real,Anestesia,marginal,0.0,383,,2223.12,,False,,,,
17027,Madrid,Bioseguridad,marginal,0.0,1685,,1086.44,,False,,,,
17056,Sta.Cruz Tenerife,Anestesia,en_risc,2826.88,45,85.3,1.0,-0.63,True,caiguda_share,0.0,mitja,"Client en_risc de Anestesia (Share 12m: 282688%). El seu cicle de compra és de 85 dies. Porta 45 dies sense comprar (-40 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment."
17116,Sta.Cruz Tenerife,Anestesia,promiscu,0.484,24,115.9,3410.04,-1.36,False,,,,
17143,Madrid,Anestesia,fidel,1.352,7,117.0,3410.04,-1.29,False,,,,
17143,Madrid,Bioseguridad,marginal,0.0,1168,,1667.34,,False,,,,
17168,Málaga,Anestesia,en_risc,0.404,28,137.2,4546.72,-0.52,True,caiguda_share,2708.47,mitja,"Client en_risc de Anestesia (Share 12m: 40%). El seu cicle de compra és de 137 dies. Porta 28 dies sense comprar (-109 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment."
17172,A Coruña,Anestesia,marginal,0.0,1447,,3410.04,,False,,,,
17196,Málaga,Anestesia,perdut,0.165,279,,2223.12,,False,,,,
17316,Baleares,Anestesia,perdut,0.0,616,,1802.36,,False,,,,
17321,Salamanca,Anestesia,promiscu,0.499,62,83.0,9093.44,-0.65,False,,,,
17321,Salamanca,Bioseguridad,en_risc,1.124,74,54.2,4446.24,0.7,True,caiguda_share,0.0,mitja,"Client en_risc de Bioseguridad (Share 12m: 112%). El seu cicle de compra és de 54 dies. Porta 74 dies sense comprar (20 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment."
17352,Barcelona,Anestesia,perdut,0.0,1488,,3410.04,,False,,,,
17434,,Anestesia,fidel,0.937,46,94.8,2223.12,-1.19,False,,,,
17563,Madrid,Anestesia,perdut,0.898,118,,3410.04,,False,,,,
17574,Madrid,Anestesia,promiscu,0.271,56,124.8,2223.12,-2.07,False,,,,
17574,Madrid,Bioseguridad,perdut,0.221,207,,1086.44,,False,,,,
17596,Soria,Anestesia,perdut,0.0,389,,2223.12,,False,,,,
17612,Salamanca,Anestesia,perdut,0.381,250,,1802.36,,False,,,,
17625,Pontevedra,Anestesia,perdut,0.0,763,,2223.12,,False,,,,
17632,Madrid,Bioseguridad,marginal,0.0,796,,1086.44,,False,,,,
17642,Albacete,Anestesia,perdut,0.0,1082,,2223.12,,False,,,,
17675,Valencia,Anestesia,fidel,0.818,12,307.7,3410.04,-5.52,False,,,,
17685,Sevilla,Anestesia,promiscu,0.649,77,248.5,3410.04,-1.42,False,,,,
17685,Sevilla,Bioseguridad,en_risc,0.661,342,,1667.34,,False,,,,
17686,Barcelona,Anestesia,perdut,0.0,1508,,2223.12,,False,,,,
17690,Baleares,Anestesia,perdut,0.706,115,,2223.12,,False,,,,
17690,Baleares,Bioseguridad,fidel,3.707,13,64.5,1086.44,-1.08,False,,,,
17704,Málaga,Anestesia,perdut,0.61,298,,1802.36,,False,,,,
17707,Asturias,Anestesia,promiscu,0.505,53,251.0,2223.12,-1.33,False,,,,
17707,Asturias,Bioseguridad,perdut,0.0,580,,1086.44,,False,,,,
17716,Murcia,Anestesia,perdut,0.0,763,,2223.12,,False,,,,
17758,Soria,Anestesia,promiscu,0.524,14,251.6,2223.12,-1.74,False,,,,
17758,Soria,Bioseguridad,promiscu,0.256,14,358.3,1086.44,-1.36,False,,,,
17764,Barcelona,Anestesia,promiscu,0.637,82,185.9,1802.36,-1.63,False,,,,
17764,Barcelona,Bioseguridad,fidel,1.911,82,190.7,879.2,-1.3,False,,,,
17828,Girona,Anestesia,perdut,0.0,650,,1802.36,,False,,,,
17847,Cádiz,Anestesia,promiscu,0.618,28,279.0,2223.12,-2.23,False,,,,
17902,Lleida,Anestesia,perdut,0.0,1138,,2223.12,,False,,,,
17902,Lleida,Bioseguridad,marginal,0.0,1138,,1086.44,,False,,,,
17904,León,Anestesia,perdut,0.423,214,,2223.12,,False,,,,
17953,Ceuta,Anestesia,marginal,0.0,1258,,2223.12,,False,,,,
17956,Zaragoza,Anestesia,perdut,0.484,115,,3410.04,,False,,,,
17956,Zaragoza,Bioseguridad,perdut,0.194,353,,1667.34,,False,,,,
17963,Pontevedra,Anestesia,en_risc,0.722,46,54.7,9093.44,-0.55,True,caiguda_share,2530.53,mitja,"Client en_risc de Anestesia (Share 12m: 72%). El seu cicle de compra és de 55 dies. Porta 46 dies sense comprar (-9 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment."
17964,Sevilla,Anestesia,perdut,0.0,713,,2223.12,,False,,,,
17964,Sevilla,Bioseguridad,perdut,0.0,713,,1086.44,,False,,,,
17965,Vizcaya,Anestesia,perdut,0.531,104,,2223.12,,False,,,,
18020,A Coruña,Anestesia,perdut,0.0,1196,,2223.12,,False,,,,
18028,Ávila,Bioseguridad,perdut,0.0,1643,,1086.44,,False,,,,
18088,Cáceres,Anestesia,fidel,0.877,32,432.0,2223.12,-0.86,False,,,,
18088,Cáceres,Bioseguridad,fidel,3.866,32,105.1,1086.44,-0.98,False,,,,
18181,Salamanca,Anestesia,perdut,0.496,91,,1802.36,,False,,,,
18182,Madrid,Anestesia,perdut,0.0,1665,,2223.12,,False,,,,
18186,Cantabria,Bioseguridad,marginal,0.0,1579,,1086.44,,False,,,,
18237,Asturias,Bioseguridad,perdut,0.889,221,,1086.44,,False,,,,
18313,Valencia,Anestesia,promiscu,0.733,7,200.2,2223.12,-1.15,False,,,,
18313,Valencia,Bioseguridad,perdut,0.0,1049,,1086.44,,False,,,,
18341,Valencia,Anestesia,promiscu,0.269,56,243.9,1802.36,-1.4,False,,,,
18359,Albacete,Bioseguridad,fidel,4.859,26,42.3,1667.34,-0.83,False,,,,
18431,Madrid,Anestesia,perdut,0.0,1340,,2223.12,,False,,,,
18442,Madrid,Anestesia,promiscu,0.425,7,79.7,3410.04,-1.65,False,,,,
18442,Madrid,Bioseguridad,fidel,1.801,13,71.8,1667.34,-1.29,False,,,,
18590,Asturias,Anestesia,perdut,0.0,1588,,2223.12,,False,,,,
18590,Asturias,Bioseguridad,marginal,0.0,1427,,1086.44,,False,,,,
18655,A Coruña,Anestesia,perdut,0.0,418,,3410.04,,False,,,,
18655,A Coruña,Bioseguridad,perdut,1.907,96,,1667.34,,False,,,,
18661,A Coruña,Anestesia,perdut,0.102,180,,1802.36,,False,,,,
18670,Sta.Cruz Tenerife,Anestesia,fidel,0.954,67,123.0,3410.04,-0.67,False,,,,
18670,Sta.Cruz Tenerife,Bioseguridad,marginal,0.0,1748,,1667.34,,False,,,,
18690,Madrid,Anestesia,perdut,0.0,1525,,2223.12,,False,,,,
18697,Pontevedra,Anestesia,perdut,0.447,94,,1802.36,,False,,,,
18747,Sta.Cruz Tenerife,Anestesia,promiscu,0.494,46,90.7,3410.04,-1.0,False,,,,
18747,Sta.Cruz Tenerife,Bioseguridad,en_risc,1.862,46,67.7,1667.34,-0.76,True,caiguda_share,0.0,mitja,"Client en_risc de Bioseguridad (Share 12m: 186%). El seu cicle de compra és de 68 dies. Porta 46 dies sense comprar (-22 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment."
18749,Sta.Cruz Tenerife,Anestesia,perdut,0.815,103,,3410.04,,False,,,,
18765,Sta.Cruz Tenerife,Anestesia,fidel,1.125,77,111.5,2223.12,-1.12,False,,,,
18774,Almería,Anestesia,perdut,0.408,111,,2223.12,,False,,,,
18774,Almería,Bioseguridad,perdut,0.439,111,,1086.44,,False,,,,
18796,Girona,Anestesia,fidel,1.028,75,131.8,2223.12,-1.21,False,,,,
18796,Girona,Bioseguridad,perdut,0.0,935,,1086.44,,False,,,,
18799,Las Palmas,Anestesia,perdut,0.0,1141,,2223.12,,False,,,,
18847,Baleares,Bioseguridad,perdut,0.0,1083,,1086.44,,False,,,,
18863,Sevilla,Anestesia,marginal,0.242,39,,3410.04,,False,,,,
18863,Sevilla,Bioseguridad,perdut,0.0,446,,1667.34,,False,,,,
18873,Cantabria,Anestesia,perdut,0.361,91,,2223.12,,False,,,,
18915,Zaragoza,Anestesia,perdut,0.503,117,,2223.12,,False,,,,
18936,Madrid,Anestesia,promiscu,0.587,26,125.5,2223.12,-1.54,False,,,,
18936,Madrid,Bioseguridad,perdut,0.373,248,,1086.44,,False,,,,
19034,Granada,Anestesia,perdut,0.0,494,,2223.12,,False,,,,
19056,Madrid,Anestesia,marginal,0.205,11,,2223.12,,False,,,,
19065,Madrid,Anestesia,promiscu,0.345,75,140.2,3410.04,-0.51,False,,,,
19065,Madrid,Bioseguridad,fidel,0.967,75,110.5,1667.34,-0.4,False,,,,
19111,Almería,Anestesia,perdut,0.861,98,,2223.12,,False,,,,
19111,Almería,Bioseguridad,perdut,0.0,914,,1086.44,,False,,,,
19153,Sta.Cruz Tenerife,Bioseguridad,perdut,0.0,1643,,1667.34,,False,,,,
19170,Madrid,Anestesia,fidel,0.848,28,191.7,2223.12,-3.02,False,,,,
19174,Castellón,Anestesia,marginal,0.0,1511,,3410.04,,False,,,,
19211,Madrid,Anestesia,marginal,0.104,90,,3410.04,,False,,,,
19211,Madrid,Bioseguridad,perdut,0.481,326,,1667.34,,False,,,,
19212,Madrid,Anestesia,fidel,1.602,48,47.3,6820.08,0.01,False,,,,
19212,Madrid,Bioseguridad,perdut,0.485,336,,3334.68,,False,,,,
19238,Valladolid,Anestesia,perdut,0.65,153,,1802.36,,False,,,,
19307,Gipúzkoa,Anestesia,en_risc,1.427,67,75.0,2223.12,-0.24,True,caiguda_share,0.0,mitja,"Client en_risc de Anestesia (Share 12m: 143%). El seu cicle de compra és de 75 dies. Porta 67 dies sense comprar (-8 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment."
19350,Asturias,Anestesia,perdut,0.319,298,,2223.12,,False,,,,
19350,Asturias,Bioseguridad,fidel,1.621,26,127.9,1086.44,-1.41,False,,,,
19364,Lugo,Anestesia,marginal,0.0,619,,3410.04,,False,,,,
19364,Lugo,Bioseguridad,perdut,0.0,377,,1667.34,,False,,,,
19376,Ciudad Real,Anestesia,perdut,0.797,115,,2223.12,,False,,,,
19377,Barcelona,Bioseguridad,nou,0.061,32,,1086.44,,False,,,,
19410,Sevilla,Anestesia,perdut,0.0,741,,2223.12,,False,,,,
19491,Málaga,Anestesia,marginal,0.0,1082,,2223.12,,False,,,,
19531,Murcia,Anestesia,perdut,0.027,111,,3410.04,,False,,,,
19531,Murcia,Bioseguridad,en_risc,0.802,76,91.4,1667.34,-0.2,True,caiguda_share,330.11,mitja,"Client en_risc de Bioseguridad (Share 12m: 80%). El seu cicle de compra és de 91 dies. Porta 76 dies sense comprar (-15 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment."
19550,Madrid,Anestesia,fidel,2.347,40,53.2,3410.04,-0.26,False,,,,
19550,Madrid,Bioseguridad,en_risc,2.897,40,91.4,1667.34,-0.47,True,caiguda_share,0.0,mitja,"Client en_risc de Bioseguridad (Share 12m: 290%). El seu cicle de compra és de 91 dies. Porta 40 dies sense comprar (-51 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment."
19562,Sevilla,Anestesia,marginal,0.205,34,,2223.12,,False,,,,
19583,Madrid,Anestesia,promiscu,0.403,63,214.4,3410.04,-2.03,False,,,,
19591,Vizcaya,Anestesia,perdut,0.0,1074,,2223.12,,False,,,,
19649,Barcelona,Anestesia,perdut,0.0,1784,,1802.36,,False,,,,
19672,Murcia,Anestesia,marginal,0.0,1463,,2223.12,,False,,,,
19740,Valladolid,Anestesia,perdut,0.0,1755,,1802.36,,False,,,,
19757,Tarragona,Anestesia,marginal,0.124,28,,3410.04,,False,,,,
19776,Lugo,Anestesia,perdut,0.133,125,,2223.12,,False,,,,
19832,Madrid,Anestesia,perdut,0.142,216,,3410.04,,False,,,,
19832,Madrid,Bioseguridad,perdut,0.0,1567,,1667.34,,False,,,,
19864,Granada,Anestesia,perdut,0.319,272,,2223.12,,False,,,,
19864,Granada,Bioseguridad,perdut,0.522,272,,1086.44,,False,,,,
19881,Madrid,Anestesia,perdut,0.54,108,,2223.12,,False,,,,
19883,Cádiz,Anestesia,perdut,0.0,763,,1802.36,,False,,,,
19899,Valladolid,Anestesia,fidel,1.681,35,68.5,3410.04,-1.23,False,,,,
19903,Barcelona,Anestesia,marginal,0.198,38,,2223.12,,False,,,,
19912,Granada,Anestesia,perdut,0.53,110,,2223.12,,False,,,,
19946,Madrid,Anestesia,perdut,0.162,105,,2223.12,,False,,,,
19961,Barcelona,Anestesia,perdut,0.401,115,,2223.12,,False,,,,
19984,Cantabria,Anestesia,marginal,0.0,1790,,1802.36,,False,,,,
19992,Alicante,Anestesia,promiscu,0.33,6,214.2,5683.4,-1.34,False,,,,
19992,Alicante,Bioseguridad,perdut,0.0,987,,2778.9,,False,,,,
19998,Madrid,Anestesia,perdut,0.475,96,,2223.12,,False,,,,
19998,Madrid,Bioseguridad,perdut,0.0,419,,1086.44,,False,,,,
20012,Sta.Cruz Tenerife,Anestesia,perdut,0.113,168,,3410.04,,False,,,,
20026,Valencia,Anestesia,perdut,0.0,949,,2223.12,,False,,,,
20075,Vizcaya,Anestesia,fidel,0.975,74,299.8,2223.12,-4.33,False,,,,
20075,Vizcaya,Bioseguridad,perdut,0.0,936,,1086.44,,False,,,,
20079,Zamora,Anestesia,fidel,1.027,13,232.6,2223.12,-1.44,False,,,,
20103,Granada,Anestesia,marginal,0.0,1005,,2223.12,,False,,,,
20103,Granada,Bioseguridad,marginal,0.0,1005,,1086.44,,False,,,,
20114,Jaén,Anestesia,perdut,0.0,467,,1802.36,,False,,,,
20117,Madrid,Anestesia,marginal,0.0,1330,,2223.12,,False,,,,
20140,Sta.Cruz Tenerife,Anestesia,perdut,0.053,342,,4546.72,,False,,,,
20172,Madrid,Anestesia,perdut,0.0,900,,2223.12,,False,,,,
20179,Madrid,Anestesia,perdut,0.04,206,,4546.72,,False,,,,
20179,Madrid,Bioseguridad,perdut,0.146,230,,2223.12,,False,,,,
20180,Vizcaya,Anestesia,perdut,0.737,97,,1802.36,,False,,,,
20180,Vizcaya,Bioseguridad,marginal,0.0,482,,879.2,,False,,,,
20194,Vizcaya,Anestesia,perdut,0.585,213,,4546.72,,False,,,,
20194,Vizcaya,Bioseguridad,perdut,0.0,213,,2223.12,,False,,,,
20265,Madrid,Anestesia,perdut,0.17,346,,2223.12,,False,,,,
20283,Madrid,Anestesia,promiscu,0.479,89,243.3,3410.04,-1.8,False,,,,
20283,Madrid,Bioseguridad,perdut,0.0,691,,1667.34,,False,,,,
20325,Pontevedra,Bioseguridad,en_risc,2.596,47,55.5,2223.12,-0.27,True,caiguda_share,0.0,mitja,"Client en_risc de Bioseguridad (Share 12m: 260%). El seu cicle de compra és de 56 dies. Porta 47 dies sense comprar (-8 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment."
20330,Alicante,Anestesia,perdut,0.198,130,,2223.12,,False,,,,
20335,Albacete,Anestesia,perdut,0.687,96,,2223.12,,False,,,,
20335,Albacete,Bioseguridad,perdut,0.402,96,,1086.44,,False,,,,
20356,Gipúzkoa,Anestesia,perdut,0.0,900,,2223.12,,False,,,,
20379,Tarragona,Anestesia,promiscu,0.602,89,138.8,3410.04,-1.2,False,,,,
20379,Tarragona,Bioseguridad,marginal,0.0,1293,,1667.34,,False,,,,
20425,Sta.Cruz Tenerife,Anestesia,promiscu,0.326,90,142.4,3410.04,-0.9,False,,,,
20445,Barcelona,Anestesia,promiscu,0.478,76,590.0,2223.12,-0.62,False,,,,
20448,Asturias,Bioseguridad,marginal,0.0,804,,1667.34,,False,,,,
20450,Baleares,Anestesia,perdut,0.0,873,,2223.12,,False,,,,
20450,Baleares,Bioseguridad,perdut,0.0,670,,1086.44,,False,,,,
20451,Lleida,Bioseguridad,perdut,1.101,125,,1086.44,,False,,,,
20472,Badajoz,Anestesia,fidel,1.201,25,214.2,2223.12,-1.37,False,,,,
20472,Badajoz,Bioseguridad,perdut,0.0,1536,,1086.44,,False,,,,
20534,Madrid,Anestesia,perdut,0.0,790,,2223.12,,False,,,,
20534,Madrid,Bioseguridad,marginal,0.0,1027,,1086.44,,False,,,,
20611,Lugo,Bioseguridad,perdut,0.0,699,,1086.44,,False,,,,
20614,Sta.Cruz Tenerife,Anestesia,fidel,0.779,69,249.0,3410.04,-1.28,False,,,,
20614,Sta.Cruz Tenerife,Bioseguridad,en_risc,1.583,46,98.1,1667.34,-1.16,True,caiguda_share,0.0,mitja,"Client en_risc de Bioseguridad (Share 12m: 158%). El seu cicle de compra és de 98 dies. Porta 46 dies sense comprar (-52 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment."
20617,Madrid,Anestesia,perdut,0.0,691,,1802.36,,False,,,,
20618,Barcelona,Anestesia,marginal,0.0,1337,,1802.36,,False,,,,
20619,Barcelona,Anestesia,perdut,0.0,955,,1802.36,,False,,,,
20656,Murcia,Bioseguridad,perdut,0.0,476,,1667.34,,False,,,,
20681,Málaga,Bioseguridad,promiscu,0.746,74,,1086.44,,False,,,,
20694,Madrid,Anestesia,promiscu,0.325,80,208.4,1802.36,-0.66,False,,,,
20698,Lugo,Anestesia,marginal,0.0,733,,2223.12,,False,,,,
20758,Málaga,Anestesia,marginal,0.185,348,,2223.12,,False,,,,
20772,Burgos,Anestesia,promiscu,0.638,33,386.8,2223.12,-5.0,False,,,,
20780,León,Anestesia,perdut,0.407,158,,2223.12,,False,,,,
20827,Valladolid,Bioseguridad,perdut,0.294,306,,879.2,,False,,,,
20881,Salamanca,Anestesia,perdut,0.102,124,,1802.36,,False,,,,
20911,Castellón,Bioseguridad,fidel,0.918,12,643.0,1086.44,-1.49,False,,,,
20918,Barcelona,Anestesia,promiscu,0.531,46,207.8,2223.12,-4.03,False,,,,
20962,Alicante,Anestesia,perdut,0.0,432,,3410.04,,False,,,,
21018,Granada,Anestesia,promiscu,0.598,6,224.8,2223.12,-1.11,False,,,,
21018,Granada,Bioseguridad,fidel,2.037,6,260.3,1086.44,-2.03,False,,,,
21028,Pontevedra,Bioseguridad,perdut,0.334,220,,1667.34,,False,,,,
21053,Guadalajara,Bioseguridad,perdut,0.0,811,,1667.34,,False,,,,
21082,Barcelona,Anestesia,fidel,1.257,70,75.3,2223.12,-0.17,False,,,,
21083,Pontevedra,Anestesia,perdut,0.102,129,,1802.36,,False,,,,
21083,Pontevedra,Bioseguridad,marginal,0.0,888,,879.2,,False,,,,
21097,Murcia,Anestesia,fidel,1.218,7,195.7,2223.12,-3.77,False,,,,
21097,Murcia,Bioseguridad,perdut,1.491,182,,1086.44,,False,,,,
21122,Gipúzkoa,Anestesia,marginal,0.0,1504,,1802.36,,False,,,,
21123,Barcelona,Anestesia,fidel,1.426,27,253.9,2223.12,-2.13,False,,,,
21123,Barcelona,Bioseguridad,perdut,0.0,970,,1086.44,,False,,,,
21125,Madrid,Anestesia,promiscu,0.286,19,392.0,3410.04,-3.61,False,,,,
21132,Sta.Cruz Tenerife,Anestesia,fidel,2.763,34,104.2,3410.04,-1.01,False,,,,
21160,Navarra,Anestesia,perdut,0.0,697,,2223.12,,False,,,,
21165,Granada,Anestesia,perdut,0.0,880,,1802.36,,False,,,,
21188,Almería,Anestesia,fidel,1.677,60,159.4,3410.04,-0.97,False,,,,
21188,Almería,Bioseguridad,fidel,0.963,60,134.8,1667.34,-0.91,False,,,,
21189,Barcelona,Anestesia,perdut,0.395,347,,1802.36,,False,,,,
21190,Zaragoza,Anestesia,perdut,0.234,266,,5683.4,,False,,,,
21190,Zaragoza,Bioseguridad,perdut,0.0,1571,,2778.9,,False,,,,
21206,Segovia,Anestesia,promiscu,0.52,47,174.1,3410.04,-1.41,False,,,,
21206,Segovia,Bioseguridad,promiscu,0.572,47,144.0,1667.34,-1.62,False,,,,
21230,Madrid,Anestesia,perdut,0.247,178,,6820.08,,False,,,,
21233,Madrid,Anestesia,perdut,0.214,208,,2223.12,,False,,,,
21246,Orense,Anestesia,perdut,0.701,118,,2223.12,,False,,,,
21248,Guadalajara,Anestesia,perdut,0.498,276,,2223.12,,False,,,,
21261,Madrid,Anestesia,perdut,0.474,111,,2223.12,,False,,,,
21294,Madrid,Anestesia,perdut,0.0,404,,2223.12,,False,,,,
21315,Zaragoza,Anestesia,promiscu,0.649,82,209.0,2223.12,-0.87,False,,,,
21315,Zaragoza,Bioseguridad,perdut,0.671,224,,1086.44,,False,,,,
21347,Alicante,Anestesia,fidel,0.8,61,234.9,3410.04,-3.61,False,,,,
21355,Alicante,Anestesia,perdut,0.0,1020,,2223.12,,False,,,,
21355,Alicante,Bioseguridad,marginal,0.0,1397,,1086.44,,False,,,,
21373,Pontevedra,Bioseguridad,marginal,0.0,1733,,1086.44,,False,,,,
21374,Madrid,Anestesia,perdut,0.303,175,,1802.36,,False,,,,
21374,Madrid,Bioseguridad,perdut,0.949,270,,879.2,,False,,,,
21405,Cádiz,Anestesia,perdut,0.16,313,,2223.12,,False,,,,
21417,Asturias,Anestesia,perdut,0.247,201,,2223.12,,False,,,,
21417,Asturias,Bioseguridad,marginal,0.0,1062,,1086.44,,False,,,,
21419,,Anestesia,perdut,0.0,454,,2223.12,,False,,,,
21457,Lugo,Anestesia,fidel,1.635,27,132.8,2223.12,-1.3,False,,,,
21457,Lugo,Bioseguridad,perdut,0.0,481,,1086.44,,False,,,,
21458,Asturias,Bioseguridad,marginal,0.0,1106,,879.2,,False,,,,
21480,Madrid,Anestesia,fidel,1.134,77,99.1,3410.04,-0.42,False,,,,
21480,Madrid,Bioseguridad,marginal,0.0,1263,,1667.34,,False,,,,
21517,Baleares,Anestesia,perdut,0.253,150,,1802.36,,False,,,,
21523,A Coruña,Anestesia,perdut,0.0,1469,,1802.36,,False,,,,
21533,Pontevedra,Bioseguridad,en_risc,0.439,108,,1086.44,,False,,,,
21540,Madrid,Bioseguridad,marginal,0.0,776,,1086.44,,False,,,,
21547,Madrid,Anestesia,perdut,0.459,238,,2223.12,,False,,,,
21555,Madrid,Anestesia,promiscu,0.266,83,550.3,2223.12,-0.79,False,,,,
21581,Barcelona,Anestesia,perdut,0.036,173,,5683.4,,False,,,,
21581,Barcelona,Bioseguridad,perdut,0.0,572,,2778.9,,False,,,,
21582,Murcia,Anestesia,perdut,0.0,1006,,1802.36,,False,,,,
21582,Murcia,Bioseguridad,perdut,0.452,192,,879.2,,False,,,,
21593,Madrid,Anestesia,perdut,0.401,98,,3410.04,,False,,,,
21599,Madrid,Anestesia,perdut,0.0,1321,,1802.36,,False,,,,
21601,Madrid,Anestesia,fidel,0.801,27,155.6,3410.04,-2.54,False,,,,
21601,Madrid,Bioseguridad,fidel,2.915,27,89.2,1667.34,-1.85,False,,,,
21609,Sta.Cruz Tenerife,Anestesia,marginal,0.147,20,,1802.36,,False,,,,
21627,Badajoz,Anestesia,marginal,0.0,1715,,2223.12,,False,,,,
21671,Asturias,Anestesia,perdut,0.147,278,,3410.04,,False,,,,
21678,Salamanca,Anestesia,promiscu,0.39,76,243.9,2223.12,-1.99,False,,,,
21682,A Coruña,Anestesia,perdut,0.0,1253,,2223.12,,False,,,,
21690,Madrid,Anestesia,promiscu,0.458,48,165.3,2223.12,-2.19,False,,,,
21691,Albacete,Anestesia,promiscu,0.266,77,217.4,2223.12,-1.59,False,,,,
21738,Sta.Cruz Tenerife,Anestesia,promiscu,0.698,17,91.5,3410.04,-2.13,False,,,,
21756,Albacete,Anestesia,perdut,0.266,235,,2223.12,,False,,,,
21769,Asturias,Anestesia,fidel,1.74,38,237.3,3410.04,-1.88,False,,,,
21796,Sta.Cruz Tenerife,Anestesia,perdut,0.489,263,,2223.12,,False,,,,
21797,La Rioja,Anestesia,fidel,1.945,7,63.7,2223.12,-3.2,False,,,,
21810,Sta.Cruz Tenerife,Anestesia,marginal,0.0,1305,,11366.8,,False,,,,
21812,Madrid,Anestesia,perdut,1.198,203,,2223.12,,False,,,,
21826,Huelva,Anestesia,perdut,0.234,201,,5683.4,,False,,,,
21846,Barcelona,Anestesia,fidel,1.057,88,168.0,2223.12,-1.21,False,,,,
21846,Barcelona,Bioseguridad,perdut,0.0,467,,1086.44,,False,,,,
21868,Barcelona,Anestesia,perdut,0.437,117,,2223.12,,False,,,,
21869,Madrid,Anestesia,promiscu,0.353,55,209.1,2223.12,-3.67,False,,,,
21871,Madrid,Anestesia,perdut,0.0,1147,,2223.12,,False,,,,
21871,Madrid,Bioseguridad,promiscu,0.366,80,325.6,1086.44,-2.42,False,,,,
21872,Badajoz,Anestesia,perdut,0.52,203,,3410.04,,False,,,,
21872,Badajoz,Bioseguridad,perdut,0.0,790,,1667.34,,False,,,,
21875,Jaén,Bioseguridad,perdut,0.0,1292,,1667.34,,False,,,,
21920,Zaragoza,Anestesia,marginal,0.0,1132,,2223.12,,False,,,,
21930,Almería,Anestesia,perdut,0.516,318,,2223.12,,False,,,,
21936,A Coruña,Anestesia,fidel,0.97,54,134.5,2223.12,-0.88,False,,,,
21936,A Coruña,Bioseguridad,marginal,0.0,1748,,1086.44,,False,,,,
21938,A Coruña,Anestesia,perdut,0.0,382,,3410.04,,False,,,,
21958,Madrid,Bioseguridad,perdut,0.336,350,,1086.44,,False,,,,
21963,Valencia,Anestesia,perdut,0.0,676,,3410.04,,False,,,,
21978,Madrid,Anestesia,promiscu,0.629,47,173.7,1802.36,-1.31,False,,,,
21989,Toledo,Anestesia,perdut,0.462,165,,2223.12,,False,,,,
21989,Toledo,Bioseguridad,marginal,0.0,1258,,1086.44,,False,,,,
21992,Sevilla,Anestesia,promiscu,0.671,53,421.5,3410.04,-0.55,False,,,,
21992,Sevilla,Bioseguridad,marginal,0.0,1739,,1667.34,,False,,,,
22016,Cádiz,Anestesia,fidel,0.844,89,194.1,3410.04,-1.33,False,,,,
22016,Cádiz,Bioseguridad,fidel,2.751,27,71.1,1667.34,-0.85,False,,,,
22068,Cuenca,Anestesia,perdut,0.0,1657,,2223.12,,False,,,,
22075,Sevilla,Anestesia,perdut,0.0,539,,1802.36,,False,,,,
22075,Sevilla,Bioseguridad,marginal,0.0,1531,,879.2,,False,,,,
22102,Zaragoza,Anestesia,marginal,0.0,1470,,2223.12,,False,,,,
22133,Almería,Anestesia,marginal,0.0,1629,,1802.36,,False,,,,
22134,Murcia,Anestesia,perdut,0.0,983,,2223.12,,False,,,,
22137,Almería,Anestesia,fidel,0.996,89,245.7,2223.12,-1.7,False,,,,
22137,Almería,Bioseguridad,perdut,0.0,822,,1086.44,,False,,,,
22138,Almería,Anestesia,promiscu,0.551,6,142.6,2223.12,-1.73,False,,,,
22138,Almería,Bioseguridad,promiscu,0.732,6,179.3,1086.44,-1.85,False,,,,
22193,Valencia,Anestesia,perdut,0.258,322,,2223.12,,False,,,,
22193,Valencia,Bioseguridad,perdut,0.0,740,,1086.44,,False,,,,
22211,Granada,Anestesia,perdut,0.591,180,,2223.12,,False,,,,
22211,Granada,Bioseguridad,perdut,0.0,460,,1086.44,,False,,,,
22216,Albacete,Anestesia,en_risc,1.382,68,87.2,2223.12,-0.64,True,caiguda_share,0.0,mitja,"Client en_risc de Anestesia (Share 12m: 138%). El seu cicle de compra és de 87 dies. Porta 68 dies sense comprar (-19 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment."
22216,Albacete,Bioseguridad,promiscu,0.559,90,250.5,1086.44,-20.63,False,,,,
22244,Sta.Cruz Tenerife,Anestesia,perdut,0.0,966,,3410.04,,False,,,,
22280,Granada,Anestesia,perdut,0.16,354,,2223.12,,False,,,,
